[ Thu Jul 05 17:02:30 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:31 CEST 2012 ]Reading File :cbconiv_Fusion_5022_14_1_4.ber
[ Thu Jul 05 17:02:31 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:31 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:31 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:31 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:31 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:31 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:31 CEST 2012 ]Reading File :cbconiv_Fusion_5023_14_1_4.ber
[ Thu Jul 05 17:02:31 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:31 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:31 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:31 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:31 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:31 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:31 CEST 2012 ]Reading File :cbconiv_Fusion_5023_14_1_4.ber.realigned
[ Thu Jul 05 17:02:31 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:31 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:31 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:31 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:31 CEST 2012 ]Reading File :cbconiv_Fusion_5024_14_1_4.ber
[ Thu Jul 05 17:02:31 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:31 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:31 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:31 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:31 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:31 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:31 CEST 2012 ]Reading File :cbconiv_Fusion_5024_14_1_4.ber.realigned
[ Thu Jul 05 17:02:31 CEST 2012 ]:):) NodeConfiguration Identified..
[ Thu Jul 05 17:02:31 CEST 2012 ]:):) DataProfiles Identified..
[ Thu Jul 05 17:02:31 CEST 2012 ]:):) NodeCrossConnections Identified..
[ Thu Jul 05 17:02:31 CEST 2012 ]:):) NodeProtectionConfiguration Identified..
[ Thu Jul 05 17:02:31 CEST 2012 ]Reading File :cbconiv_Fusion_5025_14_1_4.ber
[ Thu Jul 05 17:02:31 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:31 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:31 CEST 2012 ]:):) NodeAlarms Identified..
[ Thu Jul 05 17:02:31 CEST 2012 ]:):) NodeAlarms Identified..
